,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
195,ACO  4059,0.04908791,23 57 02.2,-34 45 58,14.583333,14.583333,0
197,ACO  4038,0.02999541,23 47 31.1,-28 12 10,20.0,20.0,0
198,ACO  2734,0.06142987,00 11 21.60,-28 51 16.6,20.0,20.0,0
199,ACO  2744,0.306,00 14 20.03,-30 23 17.8,7.0,7.0,0
201,ClG 2137-2353,0.315,21 40 12.8,-23 39 27,9.766666,9.766666,0
202,ClG J2235-2557,1.39,22 35 20.6,-25 57 42,1.6666666,1.6666666,0
205,ACO  2384,0.094,21 52 20.9,-19 32 53,14.333333,14.333333,0
206,ACO   133,0.057,01 02 41.5,-21 52 53,21.0,21.0,0
209,ACO  2345,0.179,21 27 09.80,-12 09 58.8,15.666667,15.666667,0
211,ACO   209,0.209,01 31 52.9,-13 36 53,7.0,7.0,0
214,ClG J2129-0741,0.587,21 29 26.0,-07 41 28,6.6666665,6.6666665,0
215,ACO  2399,0.058,21 57 19.01,-07 50 57.5,12.083333,12.083333,0
216,ACO  2428,0.084,22 16 07.01,-09 20 19.5,17.083334,17.083334,0
217,ClG J2243-0935,0.43929,22 43 21.1,-09 35 43,11.0,11.0,0
218,ACO  2645,0.2509,23 41 17.0,-09 01 11,0.21,0.118,0
219,ACO  2670,0.0761,23 54 10.51,-10 23 06.8,20.0,20.0,0
220,ACO    85,0.0556,00 41 36.21,-09 19 30.4,21.666666,21.666666,0
226,ACO   348,0.2701,02 23 59.20,-08 35 43.4,11.028,11.028,0
231,BAX 339.9121-05.7217,0.24,22 39 38.8,-05 43 13,10.0,10.0,0
233,ACO  2697,0.234,00 03 11.5,-06 05 30,12.083333,12.083333,0
236,1RXS J022508.6-062310,0.2041,02 25 12.2,-06 22 59,10.668,10.668,0
237,ACO   362,0.1852,02 31 42.20,-04 52 53.1,16.656,16.656,0
240,ACO   329,0.1394,02 14 40.900,-04 33 21.90,13.333333,13.333333,0
241,HSCS J022457-034853,0.61,02 24 57.1,-03 48 53,5.6,5.6,0
242,ACT-CL J0221.7-0346,0.432,02 21 45.8,-03 46 08,7.2,7.2,0
243,HSCS J022828-042608,0.43,02 28 27.4,-04 25 48,4.7,4.7,0
245,ACO   383,0.19,02 48 03.3915,-03 31 45.228,13.333333,13.333333,0
250,ACO  2537,0.295,23 08 22.3,-02 11 29,9.47,9.47,0
251,ZwCl 0027-0036,0.06,00 29 27.73,-00 11 49.6,13.5862,13.5862,0
255,ACO   119,0.0445,00 56 08.57,-01 12 00.8,24.166666,24.166666,0
266,ClG J2129+0005,0.2339,21 29 40.5,+00 05 47,1.0,1.0,0
268,ACO  2355,0.23058,21 35 18.70,+01 25 27.0,12.5,12.5,0
272,ACO  2631,0.2765,23 37 40.7,+00 16 35,7.73,7.73,0
275,ACO  2700,0.095,00 03 49.7,+02 03 59,16.0,16.0,0
278,SDSS CE 011.007808+00.108698,0.2185,00 44 01.36,+00 06 47.6,5.9755,5.9755,0
279,SDSS CE 010.717058+00.725393,0.2595,00 42 52.68,+00 42 59.4,4.8962,4.8962,0
286,ACO   267,0.22965,01 52 43.016,+00 59 58.90,10.18,10.18,0
292,ZwCl 0256+0002,0.19318,02 59 33.8,+00 13 45,7.0323,7.0323,0
293,ClG J0256+0006,0.343,02 56 32.9,+00 06 12,6.21,6.21,0
313,ACO  2657,0.04,23 44 51.0,+09 08 40,20.0,20.0,0
315,ACO    68,0.24941,00 37 06.2,+09 09 33,12.19,12.19,0
325,ClG 0016+16,0.549,00 18 33.3,+16 26 36,2.5,2.5,0
327,ACO   152,0.059,01 10 09.08,+14 00 33.9,10.666667,10.666667,0
328,ACO   160,0.043,01 12 59.98,+15 30 05.3,15.0,15.0,0
335,ZwCl 0024+1652,0.395,00 26 35.6,+17 09 32,4.55,4.55,0
336,ACO  2390,0.23022,21 53 37.4,+17 41 46,2.0,2.0,0
340,ACO  2626,0.055,23 36 31.0,+21 09 36,19.666666,19.666666,0
344,ACO    98,0.1038,00 46 29.2,+20 28 06,11.666667,11.666667,0
352,BAX 006.9575+26.2739,0.3668,00 27 45.90,+26 16 25.0,0.147,0.147,0
354,ACO   115,0.193,00 55 59.5,+26 19 14,12.5,12.5,0
362,NAME Stephan's Quintet,0.0215,22 35 57.5,+33 57 36,3.2,3.2,0
363,ACO   262,0.016,01 52 50.4,+36 08 46,21.666666,21.666666,0
365,ClG 0906.5+1110,0.1767,09 09 12.7,+10 58 32,12.666667,12.666667,0
367,ACO   754,0.054,09 09 08.4,-09 39 58,16.0,16.0,0
369,ACO   781,0.293,09 20 25.4,+30 30 07,9.37,9.37,0
382,BAX 145.8779+16.6672,0.25,09 43 30.70,+16 40 02.0,2.88,2.88,0
383,BAX 145.9371+16.7467,0.17934,09 43 45.0,+16 44 13,5.0,5.0,0
403,ACO   963,0.2041,10 17 03.4,+39 02 56,12.916667,12.916667,0
405,[AWK2020] 378,0.11205785,10 13 46.91,+19 45 21.0,1.02,1.02,0
414,BAX 155.5304+38.5153,0.05429697,10 22 18.24,+38 32 39.6,12.333333,12.333333,0
417,ZwCl 1021+0426,0.2894,10 23 39.0,+04 11 14,1.0,1.0,0
421,ACO  1035,0.07739437,10 32 05.91,+40 17 25.9,12.916667,12.916667,0
422,ACO  1056,0.12467,10 38 01.8,+41 46 38,7.5,7.5,0
445,ACO  1139,0.0397569,10 58 01.63,+01 38 05.4,11.0,11.0,0
